name,lat,lng,street_km_per_km2,inters_per_km2,green_pct,poi_count_total,avg_node_degree
"Sidon, Lebanon",33.5575,35.3711,0.00016103036938754038,89.1447381980877,0.0702052169722648,230,4.170984455958549
"Tyre, Lebanon",33.27,35.2033,0.0001223149671980781,63.32382583537886,8.426100203879026,339,4.3076923076923075
"Beirut, Lebanon",33.8938,35.5018,0.00019423803179692325,142.8786217116043,0.24897736467451867,838,3.6739130434782608
"Zahlé, Lebanon",33.8467,35.9011,0.00020353425551466065,82.74474252662232,0.0,124,4.717047451669596
"Aleppo, Syria",36.2021,37.1343,0.00019159546241420794,106.67864890241295,1.5507482945515234,449,4.527950310559007
"Damascus, Syria",33.5138,36.2765,0.00010944228332517567,63.154660829083475,2.893738950994425,702,3.4971751412429377
"Hama, Syria",35.1318,36.7578,0.00023067130998717487,126.69711123962175,61.27774913223659,349,4.830729166666667
"Homs, Syria",34.7308,36.709,0.00031601389936544277,192.2071686747917,0.10166153133667384,265,5.294746215494212
"Latakia, Syria",35.5236,35.7917,0.0002158808061503782,105.74310815688023,0.07617207132766254,507,4.6688311688311686
"Zarqa, Jordan",32.0728,36.087,0.0002095378782171785,83.74222603103377,0.0,27,5.104033970276008
"Amman, Jordan",31.9539,35.9106,0.00018337489556268202,90.33493616469153,0.6751771172694895,444,3.7230142566191446
"Irbid, Jordan",32.5556,35.85,0.0002787093715275569,169.78890451973896,0.0,182,4.9109947643979055
"Aqaba, Jordan",29.532,35.0063,0.0001972679354911507,103.9311178454757,0.23183131231447437,434,4.151696606786427
Haifa,32.794,34.9896,0.00010958626126549793,60.04577893939798,159.17668367573566,203,3.4510869565217392
Nazareth,32.6996,35.3035,0.00018491929728865135,98.52597519484911,3.1328295290562016,298,4.11875
Hebron,31.5326,35.0998,0.00016837447739470254,63.20690007942597,0.0,304,4.334128878281623
Gaza City,31.5204,34.4531,0.00019595396305702715,76.41077516385343,0.07344225072044568,703,5.375
Ramallah,31.9026,35.1956,0.0001795559584796217,85.04257604138458,0.0,669,4.584070796460177
Nablus,32.2211,35.2544,0.00020464784956287875,69.91236973668394,8.789291922763999,584,4.813299232736573
"Tripoli, Lebanon",34.4367,35.8497,0.00023141699567413163,112.28891320582404,0.32620974073037934,188,5.070889894419306
"Baghdad, Iraq",33.3152,44.3661,0.00013270634059977827,60.09161489273521,10.086579422063899,2442,4.535031847133758
"Basra, Iraq",30.5081,47.7835,0.00033239478781714774,182.98075904320854,0.0,220,5.5609264853977844
"Erbil, Iraq",36.1911,44.0094,0.00026344497070211807,168.04103863901162,0.7300569938876653,1133,4.932710280373832
"Kirkuk, Iraq",35.4681,44.3922,0.00020091439862558096,111.66511770034167,3.122231707044453,608,4.8192090395480225
"Najaf, Iraq",32.0121,44.331,0.00024102800556451102,125.80044696318947,2.2106694119243104,246,4.945161290322581
"Karbala, Iraq",32.6167,44.0333,0.0002075964669833982,93.01423779853803,0.03786847006001449,498,4.691803278688525
Tel Aviv-Yafo,32.0853,34.7818,0.0001517761518524807,103.1889095949211,0.042263014170978615,1036,3.4684838160136287
"Diyarbakır, Turkey",37.9144,40.2306,0.00021888810163520707,126.35635888091609,7.820287387798637,578,5.281553398058253
"Gaziantep, Turkey",37.0662,37.3833,0.0002649781713232805,142.166808656205,0.2463879092474227,436,5.145180023228804
"Şanlıurfa, Turkey",37.1674,38.7955,0.0002230119467458118,115.07478073436714,1.7398330994456892,210,5.258461538461538
"Mosul, Iraq",36.3456,43.1575,0.0002535395310161499,129.37406391022807,0.027478302204785802,253,5.060759493670886
"Mardin, Turkey",37.3123,40.735,0.00012884277844856063,41.99898649559381,6.199429976787525,445,4.449612403100775
"Antakya (Hatay), Turkey",36.2066,36.1572,0.0002676342846541197,150.57577578080935,0.26005339785488996,256,5.2426778242677825
"Adana, Turkey",37.0,35.3213,0.0002363815794938112,133.45138044475036,3.639967555443053,494,4.70704845814978
Jerusalem,31.7683,35.2137,0.00016360888534439118,107.3742240898602,4.100204504264787,643,3.7763371150729337
"Sulaymaniyah, Iraq",35.5613,45.4309,0.0002689354638106415,147.1260613370596,7.259083495196031,696,5.023102310231023
